"","trial","ppt","J","K","y"
"874",10,13,"J1","K2",1
"875",11,13,"J1","K2",1
"876",12,13,"J1","K2",1
"877",1,14,"J1","K2",1
"878",2,14,"J1","K2",1
"879",3,14,"J1","K2",1
"880",4,14,"J1","K2",1
"881",5,14,"J1","K2",1
"882",6,14,"J1","K2",1
"883",7,14,"J1","K2",1
"884",8,14,"J1","K2",1
"885",9,14,"J1","K2",1
"886",10,14,"J1","K2",1
"887",11,14,"J1","K2",1
"888",12,14,"J1","K2",1
"889",1,15,"J1","K2",1
"890",2,15,"J1","K2",1
"891",3,15,"J1","K2",1
"892",4,15,"J1","K2",0
"893",5,15,"J1","K2",1
"894",6,15,"J1","K2",1
"895",7,15,"J1","K2",1
"896",8,15,"J1","K2",1
"897",9,15,"J1","K2",1
"898",10,15,"J1","K2",1
"899",11,15,"J1","K2",1
"900",12,15,"J1","K2",1
"901",1,16,"J1","K2",1
"902",2,16,"J1","K2",1
"903",3,16,"J1","K2",1
"904",4,16,"J1","K2",1
"905",5,16,"J1","K2",1
"906",6,16,"J1","K2",1
"907",7,16,"J1","K2",0
"908",8,16,"J1","K2",1
"909",9,16,"J1","K2",1
"910",10,16,"J1","K2",1
"911",11,16,"J1","K2",1
"912",12,16,"J1","K2",1
"913",1,17,"J1","K2",1
"914",2,17,"J1","K2",1
"915",3,17,"J1","K2",1
"916",4,17,"J1","K2",1
"917",5,17,"J1","K2",1
"918",6,17,"J1","K2",0
"919",7,17,"J1","K2",1
"920",8,17,"J1","K2",1
"921",9,17,"J1","K2",1
"922",10,17,"J1","K2",1
"923",11,17,"J1","K2",1
"924",12,17,"J1","K2",1
"925",1,18,"J1","K2",1
"926",2,18,"J1","K2",1
"927",3,18,"J1","K2",1
"928",4,18,"J1","K2",0
"929",5,18,"J1","K2",1
"930",6,18,"J1","K2",1
"931",7,18,"J1","K2",1
"932",8,18,"J1","K2",1
"933",9,18,"J1","K2",1
"934",10,18,"J1","K2",1
"935",11,18,"J1","K2",1
"936",12,18,"J1","K2",1
"937",1,19,"J1","K2",1
"938",2,19,"J1","K2",1
"939",3,19,"J1","K2",1
"940",4,19,"J1","K2",1
"941",5,19,"J1","K2",1
"942",6,19,"J1","K2",1
"943",7,19,"J1","K2",1
"944",8,19,"J1","K2",1
"945",9,19,"J1","K2",1
"946",10,19,"J1","K2",0
"947",11,19,"J1","K2",1
"948",12,19,"J1","K2",1
"949",1,20,"J1","K2",0
"950",2,20,"J1","K2",0
"951",3,20,"J1","K2",0
"952",4,20,"J1","K2",1
"953",5,20,"J1","K2",1
"954",6,20,"J1","K2",1
"955",7,20,"J1","K2",1
"956",8,20,"J1","K2",1
"957",9,20,"J1","K2",1
"958",10,20,"J1","K2",1
"959",11,20,"J1","K2",1
"960",12,20,"J1","K2",1
"961",1,21,"J1","K2",1
"962",2,21,"J1","K2",1
"963",3,21,"J1","K2",1
"964",4,21,"J1","K2",1
"965",5,21,"J1","K2",1
"966",6,21,"J1","K2",1
"967",7,21,"J1","K2",1
"968",8,21,"J1","K2",1
"969",9,21,"J1","K2",1
"970",10,21,"J1","K2",1
"971",11,21,"J1","K2",1
"972",12,21,"J1","K2",0
"973",1,22,"J1","K2",1
"974",2,22,"J1","K2",1
"975",3,22,"J1","K2",1
"976",4,22,"J1","K2",0
"977",5,22,"J1","K2",0
"978",6,22,"J1","K2",1
"979",7,22,"J1","K2",1
"980",8,22,"J1","K2",1
"981",9,22,"J1","K2",1
"982",10,22,"J1","K2",1
"983",11,22,"J1","K2",1
"984",12,22,"J1","K2",0
"985",1,23,"J1","K2",1
"986",2,23,"J1","K2",1
"987",3,23,"J1","K2",1
"988",4,23,"J1","K2",1
"989",5,23,"J1","K2",1
"990",6,23,"J1","K2",1
"991",7,23,"J1","K2",1
"992",8,23,"J1","K2",1
"993",9,23,"J1","K2",1
"994",10,23,"J1","K2",1
"995",11,23,"J1","K2",1
"996",12,23,"J1","K2",1
"997",1,24,"J1","K2",1
"998",2,24,"J1","K2",1
"999",3,24,"J1","K2",1
"1000",4,24,"J1","K2",1
"1001",5,24,"J1","K2",1
"1002",6,24,"J1","K2",1
"1003",7,24,"J1","K2",1
"1004",8,24,"J1","K2",1
"1005",9,24,"J1","K2",1
"1006",10,24,"J1","K2",1
"1007",11,24,"J1","K2",1
"1008",12,24,"J1","K2",0
"1009",1,25,"J1","K2",1
"1010",2,25,"J1","K2",1
"1011",3,25,"J1","K2",1
"1012",4,25,"J1","K2",1
"1013",5,25,"J1","K2",1
"1014",6,25,"J1","K2",1
"1015",7,25,"J1","K2",1
"1016",8,25,"J1","K2",1
"1017",9,25,"J1","K2",1
"1018",10,25,"J1","K2",1
"1019",11,25,"J1","K2",0
"1020",12,25,"J1","K2",1
"1021",1,26,"J1","K2",1
"1022",2,26,"J1","K2",1
"1023",3,26,"J1","K2",1
"1024",4,26,"J1","K2",1
"1025",5,26,"J1","K2",1
"1026",6,26,"J1","K2",1
"1027",7,26,"J1","K2",1
"1028",8,26,"J1","K2",1
"1029",9,26,"J1","K2",1
"1030",10,26,"J1","K2",1
"1031",11,26,"J1","K2",1
"1032",12,26,"J1","K2",1
"1033",1,27,"J1","K2",1
"1034",2,27,"J1","K2",0
"1035",3,27,"J1","K2",1
"1036",4,27,"J1","K2",1
"1037",5,27,"J1","K2",1
"1038",6,27,"J1","K2",1
"1039",7,27,"J1","K2",1
"1040",8,27,"J1","K2",1
"1041",9,27,"J1","K2",1
"1042",10,27,"J1","K2",1
"1043",11,27,"J1","K2",1
"1044",12,27,"J1","K2",1
"1045",1,28,"J1","K2",1
"1046",2,28,"J1","K2",1
"1047",3,28,"J1","K2",1
"1048",4,28,"J1","K2",1
"1049",5,28,"J1","K2",1
"1050",6,28,"J1","K2",1
"1051",7,28,"J1","K2",1
"1052",8,28,"J1","K2",1
"1053",9,28,"J1","K2",1
"1054",10,28,"J1","K2",1
"1055",11,28,"J1","K2",1
"1056",12,28,"J1","K2",1
"1057",1,29,"J1","K2",1
"1058",2,29,"J1","K2",1
"1059",3,29,"J1","K2",1
"1060",4,29,"J1","K2",1
"1061",5,29,"J1","K2",1
"1062",6,29,"J1","K2",1
"1063",7,29,"J1","K2",1
"1064",8,29,"J1","K2",0
"1065",9,29,"J1","K2",1
"1066",10,29,"J1","K2",1
"1067",11,29,"J1","K2",1
"1068",12,29,"J1","K2",1
"1069",1,30,"J1","K2",1
"1070",2,30,"J1","K2",1
"1071",3,30,"J1","K2",0
"1072",4,30,"J1","K2",1
"1073",5,30,"J1","K2",1
"1074",6,30,"J1","K2",1
"1075",7,30,"J1","K2",1
"1076",8,30,"J1","K2",1
"1077",9,30,"J1","K2",1
"1078",10,30,"J1","K2",1
"1079",11,30,"J1","K2",1
"1080",12,30,"J1","K2",1
"1081",1,1,"J2","K2",1
"1082",2,1,"J2","K2",1
"1083",3,1,"J2","K2",1
"1084",4,1,"J2","K2",1
"1085",5,1,"J2","K2",1
"1086",6,1,"J2","K2",1
"1087",7,1,"J2","K2",0
"1088",8,1,"J2","K2",1
"1089",9,1,"J2","K2",1
"1090",10,1,"J2","K2",0
"1091",11,1,"J2","K2",1
"1092",12,1,"J2","K2",1
"1093",1,2,"J2","K2",1
"1094",2,2,"J2","K2",1
"1095",3,2,"J2","K2",1
"1096",4,2,"J2","K2",1
"1097",5,2,"J2","K2",1
"1098",6,2,"J2","K2",1
"1099",7,2,"J2","K2",1
"1100",8,2,"J2","K2",1
"1101",9,2,"J2","K2",1
"1102",10,2,"J2","K2",1
"1103",11,2,"J2","K2",0
"1104",12,2,"J2","K2",0
"1105",1,3,"J2","K2",1
"1106",2,3,"J2","K2",1
"1107",3,3,"J2","K2",1
"1108",4,3,"J2","K2",1
"1109",5,3,"J2","K2",1
"1110",6,3,"J2","K2",1
"1111",7,3,"J2","K2",1
"1112",8,3,"J2","K2",1
"1113",9,3,"J2","K2",1
"1114",10,3,"J2","K2",1
"1115",11,3,"J2","K2",1
"1116",12,3,"J2","K2",1
"1117",1,4,"J2","K2",1
"1118",2,4,"J2","K2",1
"1119",3,4,"J2","K2",0
"1120",4,4,"J2","K2",1
"1121",5,4,"J2","K2",1
"1122",6,4,"J2","K2",1
"1123",7,4,"J2","K2",1
"1124",8,4,"J2","K2",1
"1125",9,4,"J2","K2",1
"1126",10,4,"J2","K2",1
"1127",11,4,"J2","K2",1
"1128",12,4,"J2","K2",1
"1129",1,5,"J2","K2",0
"1130",2,5,"J2","K2",1
"1131",3,5,"J2","K2",1
"1132",4,5,"J2","K2",1
"1133",5,5,"J2","K2",1
"1134",6,5,"J2","K2",1
"1135",7,5,"J2","K2",1
"1136",8,5,"J2","K2",1
"1137",9,5,"J2","K2",1
"1138",10,5,"J2","K2",1
"1139",11,5,"J2","K2",1
"1140",12,5,"J2","K2",1
"1141",1,6,"J2","K2",0
"1142",2,6,"J2","K2",1
"1143",3,6,"J2","K2",0
"1144",4,6,"J2","K2",1
"1145",5,6,"J2","K2",1
"1146",6,6,"J2","K2",1
"1147",7,6,"J2","K2",1
"1148",8,6,"J2","K2",1
"1149",9,6,"J2","K2",1
"1150",10,6,"J2","K2",1
"1151",11,6,"J2","K2",1
"1152",12,6,"J2","K2",0
"1153",1,7,"J2","K2",1
"1154",2,7,"J2","K2",1
"1155",3,7,"J2","K2",1
"1156",4,7,"J2","K2",1
"1157",5,7,"J2","K2",1
"1158",6,7,"J2","K2",1
"1159",7,7,"J2","K2",1
"1160",8,7,"J2","K2",0
"1161",9,7,"J2","K2",1
"1162",10,7,"J2","K2",1
"1163",11,7,"J2","K2",1
"1164",12,7,"J2","K2",1
"1165",1,8,"J2","K2",0
"1166",2,8,"J2","K2",1
"1167",3,8,"J2","K2",0
"1168",4,8,"J2","K2",1
"1169",5,8,"J2","K2",1
"1170",6,8,"J2","K2",1
"1171",7,8,"J2","K2",1
"1172",8,8,"J2","K2",1
"1173",9,8,"J2","K2",1
"1174",10,8,"J2","K2",1
"1175",11,8,"J2","K2",0
"1176",12,8,"J2","K2",1
"1177",1,9,"J2","K2",0
"1178",2,9,"J2","K2",1
"1179",3,9,"J2","K2",0
"1180",4,9,"J2","K2",0
"1181",5,9,"J2","K2",0
"1182",6,9,"J2","K2",1
"1183",7,9,"J2","K2",0
"1184",8,9,"J2","K2",1
"1185",9,9,"J2","K2",0
"1186",10,9,"J2","K2",0
"1187",11,9,"J2","K2",1
"1188",12,9,"J2","K2",0
"1189",1,10,"J2","K2",1
"1190",2,10,"J2","K2",0
"1191",3,10,"J2","K2",1
"1192",4,10,"J2","K2",0
"1193",5,10,"J2","K2",1
"1194",6,10,"J2","K2",0
"1195",7,10,"J2","K2",0
"1196",8,10,"J2","K2",1
"1197",9,10,"J2","K2",0
"1198",10,10,"J2","K2",1
"1199",11,10,"J2","K2",0
"1200",12,10,"J2","K2",0
"1201",1,11,"J2","K2",1
"1202",2,11,"J2","K2",0
"1203",3,11,"J2","K2",1
"1204",4,11,"J2","K2",1
"1205",5,11,"J2","K2",1
"1206",6,11,"J2","K2",0
"1207",7,11,"J2","K2",1
"1208",8,11,"J2","K2",1
"1209",9,11,"J2","K2",0
"1210",10,11,"J2","K2",1
"1211",11,11,"J2","K2",1
"1212",12,11,"J2","K2",1
"1213",1,12,"J2","K2",1
"1214",2,12,"J2","K2",1
"1215",3,12,"J2","K2",1
"1216",4,12,"J2","K2",0
"1217",5,12,"J2","K2",0
"1218",6,12,"J2","K2",1
"1219",7,12,"J2","K2",1
"1220",8,12,"J2","K2",1
"1221",9,12,"J2","K2",1
"1222",10,12,"J2","K2",0
"1223",11,12,"J2","K2",1
"1224",12,12,"J2","K2",1
"1225",1,13,"J2","K2",1
"1226",2,13,"J2","K2",1
"1227",3,13,"J2","K2",1
"1228",4,13,"J2","K2",1
"1229",5,13,"J2","K2",1
"1230",6,13,"J2","K2",1
"1231",7,13,"J2","K2",1
"1232",8,13,"J2","K2",1
"1233",9,13,"J2","K2",1
"1234",10,13,"J2","K2",1
"1235",11,13,"J2","K2",1
"1236",12,13,"J2","K2",1
"1237",1,14,"J2","K2",1
"1238",2,14,"J2","K2",1
"1239",3,14,"J2","K2",1
"1240",4,14,"J2","K2",1
"1241",5,14,"J2","K2",1
"1242",6,14,"J2","K2",1
"1243",7,14,"J2","K2",1
"1244",8,14,"J2","K2",1
"1245",9,14,"J2","K2",0
"1246",10,14,"J2","K2",1
"1247",11,14,"J2","K2",1
"1248",12,14,"J2","K2",1
"1249",1,15,"J2","K2",1
"1250",2,15,"J2","K2",0
"1251",3,15,"J2","K2",1
"1252",4,15,"J2","K2",0
"1253",5,15,"J2","K2",0
"1254",6,15,"J2","K2",1
"1255",7,15,"J2","K2",0
"1256",8,15,"J2","K2",0
"1257",9,15,"J2","K2",0
"1258",10,15,"J2","K2",0
"1259",11,15,"J2","K2",0
"1260",12,15,"J2","K2",1
"1261",1,16,"J2","K2",1
"1262",2,16,"J2","K2",1
"1263",3,16,"J2","K2",1
"1264",4,16,"J2","K2",1
"1265",5,16,"J2","K2",1
"1266",6,16,"J2","K2",0
"1267",7,16,"J2","K2",1
"1268",8,16,"J2","K2",0
"1269",9,16,"J2","K2",0
"1270",10,16,"J2","K2",1
"1271",11,16,"J2","K2",1
"1272",12,16,"J2","K2",0
"1273",1,17,"J2","K2",1
"1274",2,17,"J2","K2",1
"1275",3,17,"J2","K2",0
"1276",4,17,"J2","K2",1
"1277",5,17,"J2","K2",1
"1278",6,17,"J2","K2",1
"1279",7,17,"J2","K2",1
"1280",8,17,"J2","K2",1
"1281",9,17,"J2","K2",1
"1282",10,17,"J2","K2",1
"1283",11,17,"J2","K2",1
"1284",12,17,"J2","K2",1
"1285",1,18,"J2","K2",1
"1286",2,18,"J2","K2",0
"1287",3,18,"J2","K2",1
"1288",4,18,"J2","K2",1
"1289",5,18,"J2","K2",1
"1290",6,18,"J2","K2",1
"1291",7,18,"J2","K2",1
"1292",8,18,"J2","K2",1
"1293",9,18,"J2","K2",1
"1294",10,18,"J2","K2",1
"1295",11,18,"J2","K2",1
"1296",12,18,"J2","K2",1
"1297",1,19,"J2","K2",1
"1298",2,19,"J2","K2",1
"1299",3,19,"J2","K2",0
"1300",4,19,"J2","K2",1
"1301",5,19,"J2","K2",1
"1302",6,19,"J2","K2",1
"1303",7,19,"J2","K2",0
"1304",8,19,"J2","K2",0
"1305",9,19,"J2","K2",1
"1306",10,19,"J2","K2",1
"1307",11,19,"J2","K2",1
"1308",12,19,"J2","K2",1
"1309",1,20,"J2","K2",0
"1310",2,20,"J2","K2",1
"1311",3,20,"J2","K2",0
"1312",4,20,"J2","K2",1
"1313",5,20,"J2","K2",0
"1314",6,20,"J2","K2",1
"1315",7,20,"J2","K2",1
"1316",8,20,"J2","K2",0
"1317",9,20,"J2","K2",0
"1318",10,20,"J2","K2",0
"1319",11,20,"J2","K2",1
"1320",12,20,"J2","K2",1
"1321",1,21,"J2","K2",0
"1322",2,21,"J2","K2",1
"1323",3,21,"J2","K2",1
"1324",4,21,"J2","K2",1
"1325",5,21,"J2","K2",1
"1326",6,21,"J2","K2",1
"1327",7,21,"J2","K2",0
"1328",8,21,"J2","K2",1
"1329",9,21,"J2","K2",1
"1330",10,21,"J2","K2",1
"1331",11,21,"J2","K2",1
"1332",12,21,"J2","K2",1
"1333",1,22,"J2","K2",1
"1334",2,22,"J2","K2",0
"1335",3,22,"J2","K2",0
"1336",4,22,"J2","K2",1
"1337",5,22,"J2","K2",0
"1338",6,22,"J2","K2",0
"1339",7,22,"J2","K2",1
"1340",8,22,"J2","K2",1
"1341",9,22,"J2","K2",1
"1342",10,22,"J2","K2",1
"1343",11,22,"J2","K2",0
"1344",12,22,"J2","K2",0
"1345",1,23,"J2","K2",1
"1346",2,23,"J2","K2",0
"1347",3,23,"J2","K2",1
"1348",4,23,"J2","K2",1
"1349",5,23,"J2","K2",1
"1350",6,23,"J2","K2",1
"1351",7,23,"J2","K2",1
"1352",8,23,"J2","K2",1
"1353",9,23,"J2","K2",1
"1354",10,23,"J2","K2",1
"1355",11,23,"J2","K2",1
"1356",12,23,"J2","K2",0
"1357",1,24,"J2","K2",0
"1358",2,24,"J2","K2",1
"1359",3,24,"J2","K2",1
"1360",4,24,"J2","K2",1
"1361",5,24,"J2","K2",1
"1362",6,24,"J2","K2",1
"1363",7,24,"J2","K2",0
"1364",8,24,"J2","K2",1
"1365",9,24,"J2","K2",1
"1366",10,24,"J2","K2",1
"1367",11,24,"J2","K2",1
"1368",12,24,"J2","K2",1
"1369",1,25,"J2","K2",1
"1370",2,25,"J2","K2",1
"1371",3,25,"J2","K2",1
"1372",4,25,"J2","K2",1
"1373",5,25,"J2","K2",1
"1374",6,25,"J2","K2",1
"1375",7,25,"J2","K2",0
"1376",8,25,"J2","K2",1
"1377",9,25,"J2","K2",1
"1378",10,25,"J2","K2",1
"1379",11,25,"J2","K2",1
"1380",12,25,"J2","K2",1
"1381",1,26,"J2","K2",1
"1382",2,26,"J2","K2",1
"1383",3,26,"J2","K2",1
"1384",4,26,"J2","K2",1
"1385",5,26,"J2","K2",0
"1386",6,26,"J2","K2",1
"1387",7,26,"J2","K2",1
"1388",8,26,"J2","K2",1
"1389",9,26,"J2","K2",1
"1390",10,26,"J2","K2",1
"1391",11,26,"J2","K2",1
"1392",12,26,"J2","K2",1
"1393",1,27,"J2","K2",0
"1394",2,27,"J2","K2",1
"1395",3,27,"J2","K2",1
"1396",4,27,"J2","K2",1
"1397",5,27,"J2","K2",1
"1398",6,27,"J2","K2",1
"1399",7,27,"J2","K2",1
"1400",8,27,"J2","K2",1
"1401",9,27,"J2","K2",1
"1402",10,27,"J2","K2",1
"1403",11,27,"J2","K2",1
"1404",12,27,"J2","K2",1
"1405",1,28,"J2","K2",1
"1406",2,28,"J2","K2",1
"1407",3,28,"J2","K2",0
"1408",4,28,"J2","K2",1
"1409",5,28,"J2","K2",1
"1410",6,28,"J2","K2",1
"1411",7,28,"J2","K2",1
"1412",8,28,"J2","K2",1
"1413",9,28,"J2","K2",1
"1414",10,28,"J2","K2",1
"1415",11,28,"J2","K2",1
"1416",12,28,"J2","K2",1
"1417",1,29,"J2","K2",1
"1418",2,29,"J2","K2",1
"1419",3,29,"J2","K2",1
"1420",4,29,"J2","K2",1
"1421",5,29,"J2","K2",1
"1422",6,29,"J2","K2",1
"1423",7,29,"J2","K2",1
"1424",8,29,"J2","K2",1
"1425",9,29,"J2","K2",1
"1426",10,29,"J2","K2",1
"1427",11,29,"J2","K2",1
"1428",12,29,"J2","K2",1
"1429",1,30,"J2","K2",1
"1430",2,30,"J2","K2",1
"1431",3,30,"J2","K2",0
"1432",4,30,"J2","K2",1
"1433",5,30,"J2","K2",1
"1434",6,30,"J2","K2",0
"1435",7,30,"J2","K2",1
"1436",8,30,"J2","K2",1
"1437",9,30,"J2","K2",1
"1438",10,30,"J2","K2",1
"1439",11,30,"J2","K2",1
"1440",12,30,"J2","K2",0
